wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (664879.56 5103656.0,664887.0 5103669.5,664903.56 5103666.0,664924 5103663,664928.35 5103663.09,664934.3 5103663.21,664939.2 5103665.38,664939.76 5103667.81,664939.6 5103669.18,664939.44 5103670.5,664912.56 5103728.5,664912.25 5103730.0,664912.62 5103732.0,664913.69 5103734.0,664915.25 5103735.0,664917.12 5103735.5,664919.12 5103735.5,664921.38 5103734.5,664947.25 5103709.92,664960.15 5103694.92,664974.08 5103677.57,664977 5103675,664990.09 5103669.7,664991.33 5103670.84,664992.18 5103672.84,664990.72 5103686.71,664984.93 5103694.96,664978.38 5103704.82,664950.57 5103747.08)";670;670;VIA DELLE CAVE;VIA DELLE CAVE;TRENTO;0;;0;
"LINESTRING (665059 5104453,665058.25 5104468.41,665053.5 5104486.0,665051.19 5104494.5,665045.56 5104531.5,665043.79 5104543.17,665044.92 5104562.36,665047.71 5104581.42,665049.3 5104584.52,665051.11 5104586.18,665053.15 5104587.39,665055.79 5104588.37)";6290;6290;VIA DEGLI OLIVI;VIA DEGLI OLIVI;TRENTO;1;;0;
"LINESTRING (667303.44 5104138.46,667316.81 5104126.0,667322.44 5104120.5,667329.38 5104113.0,667339.3 5104102.97,667354.38 5104083.04,667356.6 5104081.9,667365.75 5104080.65,667376.17 5104077.6,667382.87 5104074.92)";7515;7515;VIA ALLE VOLPARE;VIA ALLE VOLPARE;TRENTO;0;;0;
"LINESTRING (664416 5104429,664420.69 5104426.5,664424.56 5104425.5,664430 5104426,664447.69 5104429.0,664451.62 5104429.0,664455.25 5104427.5,664457.62 5104424.5,664490.66 5104373.41,664493.25 5104366.0,664493.88 5104360.0,664493.19 5104355.0,664491.46 5104351.25,664488.5 5104348.0,664483.06 5104343.5,664480.46 5104339.83,664478.44 5104335.5,664477.37 5104331.38,664477.73 5104327.92,664486.88 5104292.0,664489.88 5104283.5,664500.357898385 5104260.01280561)";2460;2460;VIA DELLA PONTARA;VIA DELLA PONTARA;TRENTO;1;;0;
"LINESTRING (666577.35 5101367.12,666574.96 5101345.3,666575.05 5101339.64,666577.05 5101335.59)";7263;7263;VIA DEL NESPOLAR;VIA DEL NESPOLAR;TRENTO;0;;0;
"LINESTRING (664388.782988693 5104871.26311956,664391.66 5104868.58,664397.63 5104864.22,664404.74 5104861.01,664415.52 5104857.57,664429.06 5104853.9,664441.45 5104850.69,664451.280574628 5104844.75356721)";3505;3505;VIA DELLA SPALLIERA;VIA DELLA SPALLIERA;TRENTO;0;;0;
"LINESTRING (665398.53 5102752.59,665395.81 5102754.11,665393.55 5102755.94,665385.38 5102765.64,665378.25 5102778.89,665370.61 5102793.85,665366.75 5102803.0,665359.43 5102825.49,665357.6 5102837.15,665357.56 5102845.5,665358.23 5102851.11,665361.06 5102862.5,665364.04 5102869.56,665368.74 5102877.7,665381.78 5102897.12,665393.55 5102914.6,665399.56 5102923.91,665403.38 5102932.38,665405.6 5102940.16,665406.33 5102943.51,665407.1 5102948.45,665407.17 5102957.38,665403 5102969,665398.0 5102982.35,665395.65 5102990.05,665394.21 5102997.24,665392.05 5103006.87,665390.7 5103013.49,665385.25 5103024.5,665378.88 5103035.5,665374.67 5103043.77,665371.12 5103054.97,665367.73 5103066.85,665365.98 5103074.61,665363.38 5103076.89,665358.03 5103078.19,665353.32 5103078.02,665349.73 5103077.38,665347.64 5103075.26,665346.34 5103071.21,665340.24 5102986.99,665339.75 5102979.0,665339.31 5102977.65,665338.53 5102976.48,665337.39 5102975.55,665336.18 5102975.27,665334.71 5102975.35,665333.45 5102975.85,665332.53 5102977.02,665330.71 5102980.6,665328.09 5102988.63,665320.91 5103016.4,665319.4 5103024.88,665315.93 5103040.09,665313.34 5103049.52,665310.62 5103055.0,665306.17 5103060.06,665301.39 5103065.26,665297.34 5103072.84,665293.45 5103087.72)";1355;1355;VIA H. GMEINER;VIA H. GMEINER;TRENTO;0;;0;
"LINESTRING (668879.12 5103961.0,668873.47 5103959.75,668867.25 5103960.5,668858.88 5103961.08,668848.94 5103961.0,668842.36 5103960.6,668838.99 5103959.63,668836.14 5103957.8,668831.71 5103952.56,668830.57 5103948.16,668831.31 5103943.0)";7340;7340;LOCALITA' PASSO CIMIRLO;LOCALITA' PASSO CIMIRLO;TRENTO;0;PRINCIPALE;0;
"LINESTRING (659782.55 5106055.59,659755.03 5106085.07,659721.23 5106121.0,659692.66 5106150.17)";8139;8139;VIA GIUSEPPE A. SLOP;VIA GIUSEPPE A. SLOP;TRENTO;0;PRINCIPALE;0;
"LINESTRING (665933.65 5100624.78,665920.61 5100637.51,665911.82 5100650.85,665907.62 5100659.5,665907.19 5100662.0)";7080;7080;VIA GALASSA;VIA GALASSA;TRENTO;0;;0;
