wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (664039.88 5103978.5,664027.75 5103977.5,664012.94 5103975.0,663993.69 5103971.0,663971.62 5103966.0,663959.88 5103963.5)";2640;2640;VIA ROMA;VIA ROMA;TRENTO;1;;0;
"LINESTRING (663940.96 5103959.74,663937.44 5103959.5)";2640;2640;VIA ROMA;VIA ROMA;TRENTO;1;;0;
"LINESTRING (664273.75 5103727.5,664248.06 5103723.5)";1070;1070;PIAZZA DELLE ERBE;PIAZZA DELLE ERBE;TRENTO;1;;0;
"LINESTRING (660131.5 5102127.0,660159.89 5102163.71,660162.84 5102165.76,660173.73 5102170.91,660183.77 5102176.87,660211.57 5102194.52,660234.86 5102204.79,660244.38 5102207.5,660269.13 5102211.59,660276.35 5102212.89,660279.48 5102213.05,660282.84 5102212.67,660289.64 5102210.31,660296.19 5102207.0,660305.8 5102199.57,660314.45 5102188.5,660318.14 5102184.14)";8654;8654;VIA DEI DAINI - VANEZE;VIA DEI DAINI - VANEZE;TRENTO;0;;0;
"LINESTRING (663898.81 5102950.5,663873.19 5102945.5,663844.62 5102940.0,663838.74 5102968.89)";2260;2260;VIA G. PASCOLI;VIA G. PASCOLI;TRENTO;1;;0;
"LINESTRING (664317.44 5103760.5,664315.81 5103758.0,664313.12 5103755.0,664311.62 5103753.5,664291.38 5103734.83,664288.25 5103732.5,664286.56 5103731.5,664281.04 5103729.28,664273.75 5103727.5)";2620;2620;VIA DELLA ROGGIA GRANDE;VIA DELLA ROGGIA GRANDE;TRENTO;1;;0;
"LINESTRING (664358.99 5103843.41,664366.76 5103850.43,664385.44 5103866.5,664393.38 5103875.5,664406.37 5103890.32,664408.1 5103893.49)";2970;2970;VIA S. MARIA MADDALENA;VIA S. MARIA MADDALENA;TRENTO;1;;0;
"LINESTRING (664499.44 5105262.5,664504.3 5105249.42,664507.63 5105242.0,664519.15 5105229.43,664524.57 5105225.86,664527.61 5105222.55,664529.07 5105220.43,664530.26 5105216.99,664531.19 5105211.96,664531.32 5105202.97,664534.23 5105176.5,664536.08 5105167.9,664540.58 5105148.05,664546.8 5105131.25,664551.56 5105122.52,664558.44 5105108.49)";6090;6090;VIA CASTEL DEI MERLI;VIA CASTEL DEI MERLI;TRENTO;0;;0;
"LINESTRING (664795.78 5106385.17,664795.77 5106393.56)";6050;6050;VIA AI BOLLERI;VIA AI BOLLERI;TRENTO;0;;0;
"LINESTRING (665932.75 5104440.0,665946.44 5104445.5,665950.15 5104447.17)";6320;6320;VIA DEI POZATI;VIA DEI POZATI;TRENTO;0;;0;
"LINESTRING (667227.31 5104432.5,667232.3 5104434.65,667239.69 5104418.91)";7475;7475;PIAZZA OLTRECASTELLO;PIAZZA OLTRECASTELLO;TRENTO;0;;0;
"LINESTRING (662778.2 5109894.95,662907.56 5109892.5,662914.53 5109892.97,662920.02 5109893.83,662923.75 5109895.54,662927.18 5109898.98,662930.12 5109903.02,662937.59 5109951.6,662939.38 5109955.0,662942.38 5109957.5,662945.75 5109959.0,662950.62 5109960.5,662955.99 5109960.67,662960.9 5109959.71,662965.02 5109958.01,662968.94 5109954.95,662971.7 5109951.33,662973.78 5109945.94,662980.58 5109927.33,662983.4 5109919.1,662990.75 5109921.68,662997.64 5109905.47)";5655;5655;VIA DI LAMAR;VIA DI LAMAR;TRENTO;0;;0;
"LINESTRING (664586.18 5097612.81,664580.62 5097585.5,664564.31 5097518.5,664551.72 5097457.88,664534.88 5097388.94,664517.42 5097305.56,664505.91 5097265.88,664495.63 5097238.56,664473.61 5097186.48,664454.25 5097142.5,664442.5 5097112.0,664433 5097051)";3811;3811;TANGENZIALE SUD;TANGENZIALE SUD;TRENTO;0;PRINCIPALE;1;SS 12 dell'Abetone e del Brennero
"LINESTRING (659564.44 5103698.5,659567 5103694,659572.94 5103687.36,659582.49 5103678.41,659588.5 5103672.68)";8018;8018;VIA AL MASO BANAL;VIA AL MASO BANAL;TRENTO;0;;0;
"LINESTRING (663480.06 5103450.5,663491.94 5103488.5,663505.81 5103531.0,663521.81 5103579.0)";2900;2900;VIA R. DA SANSEVERINO;VIA R. DA SANSEVERINO;TRENTO;0;;0;
"LINESTRING (665844.25 5101705.0,665837.64 5101680.82,665819.19 5101644.35,665810.98 5101631.93,665798.94 5101617.19,665788.94 5101605.5)";7190;7190;VIA A. TAMBOSI;VIA A. TAMBOSI;TRENTO;0;;1;SP 204 Villazzano-Ponte Ludovico
"LINESTRING (663871.54 5102627.54,663878.19 5102632.0,663885.72 5102636.7,663892.23 5102639.84,663902.69 5102643.43)";3510;3510;VIA VITTORIO VENETO;VIA VITTORIO VENETO;TRENTO;1;PRINCIPALE;0;
"LINESTRING (662133.63 5103352.78,662115.65 5103349.15,662091.41 5103336.79)";8604;8604;VIA ALLA CA;VIA ALLA CA;TRENTO;0;PRINCIPALE;0;
"LINESTRING (662091.41 5103336.79,662095.25 5103327.5)";8613;8613;VIA DELLA CROSARA;VIA DELLA CROSARA;TRENTO;0;;0;
"LINESTRING (666529.56 5100808.5,666532.15 5100806.57,666534.51 5100805.67,666536.88 5100805.5,666539.66 5100807.25,666546.07 5100811.52,666559.38 5100816.5,666567.68 5100819.54,666574.45 5100822.41,666578.69 5100824.0,666580.44 5100825.0,666582.75 5100827.83,666586.36 5100834.47,666588.8 5100838.08,666591.48 5100840.64,666597.56 5100846.0,666600.4 5100848.86,666601.74 5100851.66,666603.22 5100854.73,666605.13 5100856.22,666608.31 5100856.4,666611.12 5100856.0,666614.62 5100856.5,666618.82 5100859.64,666619.9 5100861.52,666620.3 5100863.81,666620.06 5100869.0)";7030;7030;STRADA DEI BINDESI;STRADA DEI BINDESI;TRENTO;0;;0;
"LINESTRING (662912.04 5098319.43,662916.31 5098322.31,662922.39 5098324.12,662927.15 5098327.93,662936.58 5098336.63,662944.7 5098344.0,662973.92 5098370.26,662987.15 5098380.13)";8945;8945;VIA AI COMUNI;VIA AI COMUNI;TRENTO;0;;0;
"LINESTRING (657922.38 5105065.0,657940.71 5105077.98,657944.48 5105081.69,657947.92 5105087.91,657950.25 5105092.0)";8235;8235;VIA MOSNA DI VIGOLO;VIA MOSNA DI VIGOLO;TRENTO;0;PRINCIPALE;0;
"LINESTRING (665036.11 5098158.06,665030.3 5098158.7,665008.62 5098160.5,664975.88 5098163.5)";3824;3824;VIA DI SAN VINCENZO;VIA DI SAN VINCENZO;TRENTO;0;SECONDARIO;0;
"LINESTRING (659290.56 5103851.0,659285.62 5103853.0)";8041;8041;VIA DELLA RI;VIA DELLA RI;TRENTO;0;PRINCIPALE;0;
"LINESTRING (665451.19 5096899.5,665477.89 5096872.5,665492.49 5096859.56,665497.22 5096855.41,665506.57 5096851.41)";7845;7845;LOCALITA LASTE MATTARELLO;LOCALITA LASTE MATTARELLO;TRENTO;0;;0;
"LINESTRING (664990.62 5101497.0,664995.51 5101506.61,665004.5 5101515.5,665063.72 5101578.62,665070.5 5101589.0,665074.12 5101597.5,665077.94 5101611.7,665080.93 5101635.7,665083.26 5101690.88)";3720;3720;VIA DELLA MALPENSADA;VIA DELLA MALPENSADA;TRENTO;0;;0;
"LINESTRING (659227.82 5105515.68,659233.19 5105523.5,659267.75 5105576.0,659289.38 5105606.5,659309.69 5105640.0,659318.29 5105649.95,659330.47 5105658.42,659342.0 5105663.5)";8119;8119;VIA DEL CAPITELLO;VIA DEL CAPITELLO;TRENTO;0;;0;
"LINESTRING (664535.06 5106402.0,664539.08 5106374.27,664544.71 5106358.38,664560.9 5106327.88,664565.62 5106321.0)";6340;6340;VIA SABBIONARE;VIA SABBIONARE;TRENTO;0;;0;
"LINESTRING (665846.19 5101402.99,665854.31 5101407.5,665869.19 5101424.53,665871.91 5101428.78,665872.76 5101432.29,665871.29 5101438.86,665863.38 5101466.82,665863.15 5101470.55,665862.97 5101479.03,665862.31 5101494.91,665861.8 5101506.66,665861.97 5101523.43)";7200;7200;VIA DEI TESSADRI;VIA DEI TESSADRI;TRENTO;0;;0;
"LINESTRING (666003.75 5103593.5,666001.81 5103591.0,665923.31 5103487.0,665909.81 5103470.88,665900.25 5103461.0,665894.682652617 5103456.80111382)";7460;7460;VIA DON TOMMASO DALLAFIOR;VIA DON TOMMASO DALLAFIOR;TRENTO;0;;1;SP 204 Villazzano-Ponte Ludovico
"LINESTRING (666751.5 5101843.5,666754.27 5101848.74,666755.24 5101852.35,666757.37 5101856.09,666765.11 5101862.49,666774.37 5101868.22,666777.72 5101872.36,666780.36 5101879.41,666787.25 5101893.5,666793.61 5101902.95)";7115;7115;VIA DELLA ZIVERANA;VIA DELLA ZIVERANA;TRENTO;0;;0;
"LINESTRING (666449.87 5101320.58,666447.12 5101327.0,666443.14 5101352.76,666439.57 5101377.9,666438.51 5101387.42)";7261;7261;VIA DELLA GROTTA;VIA DELLA GROTTA;TRENTO;0;;0;
"LINESTRING (666996.31 5097481.5,666994.59 5097474.72,666991.19 5097469.5,666978.44 5097454.65,666956.3 5097432.34,666932.38 5097408.81,666915.61 5097391.97,666912.38 5097385.74,666910.77 5097380.71,666909.86 5097375.62,666909.23 5097368.5,666909.44 5097331.77,666909.07 5097326.79,666907.51 5097320.21,666904.32 5097312.89,666900.48 5097306.9,666894.49 5097298.76)";7718;7718;STRADA FRICCA-VALSORDA;STRADA FRICCA-VALSORDA;TRENTO;0;;1;SS 349 della Val d'Assa e Pedemontana
"LINESTRING (661171.3 5103589.89,661121.88 5103576.0,661107.91 5103572.12,661087.64 5103563.77,661059.44 5103552.5,661056.81 5103551.98,661052.8 5103552.58,661049.86 5103554.34,661047.41 5103557.49,661045.42 5103561.2,661044.45 5103565.92,661045.33 5103580.74)";8650;8650;STRADA DI CANDRIAI;STRADA DI CANDRIAI;TRENTO;0;;0;
"LINESTRING (663667.0 5107656.59,663694.75 5107554.5)";5755;5755;VIA F. A. GIONGO;VIA F. A. GIONGO;TRENTO;0;;0;
"LINESTRING (663278.94 5107874.5,663234.49 5107865.31,663226.3 5107862.66)";5290;5290;VIA 4 NOVEMBRE;VIA 4 NOVEMBRE;TRENTO;0;;0;
"LINESTRING (662418.06 5110076.59,662420.39 5110084.2,662424.21 5110096.08,662431.8 5110118.75,662434.07 5110124.29,662436.95 5110128.98,662440.37 5110133.86,662446.41 5110141.67)";5715;5715;VIA GRAZ;VIA GRAZ;TRENTO;0;;0;
"LINESTRING (662591.0 5107123.5,662604.62 5107124.51)";5740;5740;VIA L. BONAZZA;VIA L. BONAZZA;TRENTO;0;PRINCIPALE;0;
"LINESTRING (666395.7 5100879.82,666391.74 5100883.38,666389.89 5100894.72,666391.25 5100915.5,666392.79 5100925.44,666404.06 5100961.5,666407.5 5100973.5,666407.23 5100985.56,666403.5 5100998.0,666402.37 5101004.11,666402.25 5101010.5,666401.56 5101034.5,666399.21 5101067.48,666397.51 5101076.27,666395.25 5101084.0)";7267;7267;VIA DELLE NODE;VIA DELLE NODE;TRENTO;0;;0;
"LINESTRING (666768.62 5101787.5,666781.03 5101788.91,666789.09 5101790.82,666796.97 5101793.6,666802.78 5101798.6,666810.83 5101822.19,666817.08 5101839.25,666823.91 5101852.12,666827.72 5101857.36,666832.38 5101862.29,666837.24 5101865.3,666843.5 5101866.5,666854.07 5101867.0)";7115;7115;VIA DELLA ZIVERANA;VIA DELLA ZIVERANA;TRENTO;0;;0;
"LINESTRING (665434.38 5105212.05,665436.19 5105257.0,665438.48 5105259.06,665441.44 5105259.0,665446.06 5105259.0,665454.94 5105259.0,665460.14 5105258.97)";6495;6495;VIA DI ZELL;VIA DI ZELL;TRENTO;0;;0;
"LINESTRING (664060.88 5102754.5,664050.8 5102788.46)";460;460;VIA F.LLI BRONZETTI;VIA F.LLI BRONZETTI;TRENTO;0;;0;
"LINESTRING (659358.69 5106213.0,659363.16 5106216.87,659365.5 5106221.13,659366.31 5106225.27,659365.55 5106228.66,659364.46 5106232.69,659361.12 5106236.24)";8127;8127;STRADA AL LAGO;STRADA AL LAGO;TRENTO;1;;0;
"LINESTRING (664286.19 5103258.5,664302.63 5103258.79)";4008;4008;GIARDINO MARTINO MARTINI;GIARDINO MARTINO MARTINI;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663949.25 5105838.0,663974 5105850)";4010;4010;GIARDINO MATTIA GIOSAFAT;GIARDINO MATTIA GIOSAFAT;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663414.59 5108071.16,663423.5 5108080.52)";5610;5610;VIA DON LORENZO MILANI;VIA DON LORENZO MILANI;TRENTO;0;;0;
"LINESTRING (663305.84 5107424.69,663305.62 5107440.0,663304.88 5107471.0)";5290;5290;VIA 4 NOVEMBRE;VIA 4 NOVEMBRE;TRENTO;0;;0;
"LINESTRING (665895.69 5101809.0,665896.12 5101810.5,665896.31 5101813.0,665896.12 5101815.0,665895.56 5101817.5,665894.56 5101819.5,665893.25 5101821.5,665891.62 5101823.0,665889.75 5101824.5,665887.69 5101825.5,665885.44 5101826.0,665883.2 5101826.1,665881.81 5101826.0)";0;0;;;TRENTO;1;SECONDARIO;1;SP 204 Villazzano-Ponte Ludovico
"LINESTRING (663791.25 5100486.5,663866.75 5100495.0,663919.38 5100501.0)";8820;8820;VIA PROVINA;VIA PROVINA;TRENTO;0;;0;
"LINESTRING (665032.81 5103497.5,665030.25 5103483.5)";3550;3550;VIA ZARA;VIA ZARA;TRENTO;0;;0;
"LINESTRING (666543.81 5103524.0,666527.47 5103514.15)";7460;7460;VIA DON TOMMASO DALLAFIOR;VIA DON TOMMASO DALLAFIOR;TRENTO;0;;0;
"LINESTRING (664408.1 5103893.49,664409.08 5103896.77,664409.47 5103901.92,664408.44 5103910.0)";2970;2970;VIA S. MARIA MADDALENA;VIA S. MARIA MADDALENA;TRENTO;0;;0;
"LINESTRING (664049 5103514,664041.44 5103508.56,664013.5 5103503.5,663950.25 5103492.0,663909.25 5103484.5)";390;390;VIA G. BORSIERI;VIA G. BORSIERI;TRENTO;1;;0;
"LINESTRING (664886.38 5102173.5,664906.57 5102175.96,664921.55 5102177.65,664937.69 5102179.43)";770;770;VIA E. CHINI;VIA E. CHINI;TRENTO;0;;0;
"LINESTRING (663183.06 5100873.0,663191.5 5100805.0,663192.94 5100793.5)";8830;8830;RIONE SAN MARCO;RIONE SAN MARCO;TRENTO;0;;0;
"LINESTRING (663282.56 5108119.5,663304.76 5108128.54,663323.44 5108137.0)";5610;5610;VIA DON LORENZO MILANI;VIA DON LORENZO MILANI;TRENTO;0;;0;
"LINESTRING (665567.18 5105100.79,665568.24 5105096.18,665566.0 5105091.94)";6482;6482;VIA EDUINO FELLIN;VIA EDUINO FELLIN;TRENTO;0;;0;
"LINESTRING (666081.69 5099582.0,666084.44 5099578.15,666080.04 5099556.7,666080.06 5099550.5,666083.57 5099524.89,666084.51 5099516.24,666085.46 5099512.16,666086.31 5099509.5,666089.44 5099505.5,666093.86 5099499.75,666096.69 5099494.01,666097.53 5099490.14,666098.11 5099483.64,666099.81 5099471.0,666103.13 5099464.55,666104.45 5099461.01,666104.94 5099457.32,666106.5 5099446.0)";7155;7155;VIA PIANIZZA;VIA PIANIZZA;TRENTO;0;SECONDARIO;0;
"LINESTRING (664868.62 5103516.0,664869.31 5103518.0,664889.0 5103563.5)";1340;1340;VIA B. GIOVANELLI;VIA B. GIOVANELLI;TRENTO;1;;0;
"LINESTRING (665815.31 5109418.0,665808.86 5109430.52,665803.99 5109440.6,665800.09 5109445.63,665796.01 5109449.68,665788.72 5109460.58,665782.87 5109470.81,665778.16 5109475.85,665771.83 5109482.02,665759 5109491,665750.06 5109495.83,665745.19 5109497.77,665738.31 5109498.5,665729.81 5109498.0,665720.82 5109496.96,665711.38 5109498.5,665691.56 5109502.0,665622.87 5109515.81,665614.42 5109517.92,665601.75 5109521.65,665576.9 5109528.8,665566.83 5109528.31,665563.26 5109527.66,665559.68 5109526.2)";8519;8519;VIA DI PRALUNGO;VIA DI PRALUNGO;TRENTO;0;;0;
"LINESTRING (662815.12 5106153.5,662845.12 5106109.5)";3780;3780;VIA A. DETASSIS;VIA A. DETASSIS;TRENTO;0;;0;
"LINESTRING (663866.44 5108226.0,663863.69 5108233.0)";6440;6440;VIA AL MASO SPECCHIO;VIA AL MASO SPECCHIO;TRENTO;0;;0;
"LINESTRING (663122.02 5100891.03,663131.97 5100779.12,663133.04 5100777.29,663134.6 5100776.0,663139.25 5100774.26,663147.12 5100774.63,663175.81 5100777.0)";8830;8830;RIONE SAN MARCO;RIONE SAN MARCO;TRENTO;0;;0;
"LINESTRING (662986.55 5097883.79,663030.2 5097873.81,663047.57 5097869.61)";8960;8960;VIA ALLE SETTE FONTANE;VIA ALLE SETTE FONTANE;TRENTO;0;;0;
"LINESTRING (665804.64 5108378.9,665810.18 5108380.24,665814.95 5108379.48,665819.14 5108376.61,665847.76 5108355.25)";6459;6459;STRADA DI VAL CALDA;STRADA DI VAL CALDA;TRENTO;0;;0;
"LINESTRING (666432.38 5101518.0,666440 5101518,666447.12 5101516.5,666460.11 5101509.45,666511.18 5101483.88,666533.75 5101470.38,666545.74 5101462.86)";7263;7263;VIA DEL NESPOLAR;VIA DEL NESPOLAR;TRENTO;0;;0;
"LINESTRING (667208.62 5104429.5,667201.4 5104412.89)";7475;7475;PIAZZA OLTRECASTELLO;PIAZZA OLTRECASTELLO;TRENTO;0;;0;
"LINESTRING (663306.46 5107364.66,663306.224503367 5107389.84229848,663305.84 5107424.69)";5290;5290;VIA 4 NOVEMBRE;VIA 4 NOVEMBRE;TRENTO;0;;0;
"LINESTRING (665452.41 5101383.25,665450.23 5101383.36,665447.94 5101383.01,665445.39 5101382.24,665443.47 5101381.02,665440.53 5101378.49,665438.61 5101375.94,665437.67 5101373.72,665437.43 5101371.92,665437.52 5101368.61,665438.06 5101365.94,665438.35 5101365.11,665439.33 5101363.14,665440.83 5101361.04,665442.45 5101359.72,665444.22 5101358.43,665446.72 5101357.32,665449.02 5101356.69)";7010;7010;VIA ASIAGO;VIA ASIAGO;TRENTO;1;;0;
"LINESTRING (665357.38 5100681.0,665334.5 5100672.0,665301.81 5100659.5,665252.06 5100641.5)";845;845;VIA E. CONCI;VIA E. CONCI;TRENTO;0;;0;
"LINESTRING (665463.63 5101365.83,665473.56 5101358.5,665519.86 5101322.74,665528.38 5101312.77,665534.87 5101301.09,665537.31 5101292.69,665538.05 5101287.66,665538.53 5101275.3,665535.82 5101182.47)";7010;7010;VIA ASIAGO;VIA ASIAGO;TRENTO;0;;0;
"LINESTRING (665064.81 5102189.5,665088.04 5102196.02,665128.64 5102195.05)";2700;2700;VIA SAN BARTOLAMEO;VIA SAN BARTOLAMEO;TRENTO;0;;0;
"LINESTRING (667085.02 5105891.0,667075.74 5105889.56,667014.75 5105877.5,666987.44 5105872.5,666982.68 5105873.23)";6428;6428;VIA PER VILLAMONTAGNA;VIA PER VILLAMONTAGNA;TRENTO;0;PRINCIPALE;0;
"LINESTRING (662983.85 5110593.39,663147.12 5110549.0,663151.22 5110549.34,663154.26 5110550.24,663157.08 5110552.61,663168.83 5110581.86,663170.26 5110583.75,663171.88 5110585.01,663174.83 5110585.22,663179.1 5110582.63)";5102;5102;VIA ALTO ADIGE;VIA ALTO ADIGE;TRENTO;0;;0;
"LINESTRING (663636.06 5109751.5,663638.38 5109750.0,663645.14 5109740.34,663646.46 5109737.56,663657.09 5109703.01,663662.06 5109695.04,663664.61 5109689.68,663666.52 5109683.43,663670.73 5109665.84,663672.51 5109660.87,663676.85 5109651.94,663682.07 5109643.78,663690.62 5109634.98,663696.99 5109630.77,663723.25 5109617.5,663734.88 5109611.0)";8476;8476;VIA DEI PALUSTEI;VIA DEI PALUSTEI;TRENTO;0;;0;
"LINESTRING (663734.88 5109611.0,663756.12 5109599.5,663760.06 5109598.65,663765.19 5109599.5,663788.56 5109606.0,663817.29 5109612.39,663834.46 5109619.06,663842.21 5109620.02,663845.29 5109619.63,663849.58 5109618.16,663852.08 5109616.3,663854.69 5109612.0)";8476;8476;VIA DEI PALUSTEI;VIA DEI PALUSTEI;TRENTO;0;;0;
"LINESTRING (663854.69 5109612.0,663859.25 5109607.17,663883.0 5109581.5,663892.06 5109571.29,663896.93 5109563.61,663902.95 5109554.0,663913.07 5109542.46,663922.55 5109534.52,663932.5 5109527.5,663927.56 5109522.0,663922.94 5109517.09,663919.31 5109513.5,663914.56 5109510.0,663907.75 5109506.5,663898.56 5109501.5,663887.94 5109496.5,663875.5 5109489.5,663864.81 5109485.0,663856.88 5109482.0,663846.25 5109478.5,663828.75 5109471.5,663809.19 5109463.5,663803.75 5109461.5,663794.53 5109459.95)";8476;8476;VIA DEI PALUSTEI;VIA DEI PALUSTEI;TRENTO;0;;0;
"LINESTRING (664203.59 5103718.87,664185.56 5103717.5,664155.88 5103715.5,664152.06 5103715.0,664142.09 5103714.11,664123.44 5103714.5)";980;980;VIA C. DORDI;VIA C. DORDI;TRENTO;1;;0;
"LINESTRING (665051.8 5099727.43,665053.54 5099698.45,665055.72 5099646.16,665058.52 5099598.84,665056.96 5099560.86,665053.07 5099532.71)";3824;3824;VIA DI SAN VINCENZO;VIA DI SAN VINCENZO;TRENTO;0;;0;
"LINESTRING (664586.18 5097612.81,664578.37 5097602.82,664573.37 5097588.4,664565.41 5097551.31,664548.67 5097493.57,664536.25 5097462.5,664520.12 5097417.0,664505.19 5097374.5,664496.0 5097342.14,664483.65 5097294.9)";3811;3811;TANGENZIALE SUD;TANGENZIALE SUD;TRENTO;1;;1;SS 12 svincoli
"LINESTRING (664270.09 5103749.58,664246.44 5103744.5,664248.06 5103723.5)";1070;1070;PIAZZA DELLE ERBE;PIAZZA DELLE ERBE;TRENTO;0;;0;
"LINESTRING (664784.81 5111063.5,664782.31 5111053.5)";8461;8461;VIA DON EMILIO PERUGINI;VIA DON EMILIO PERUGINI;TRENTO;0;;0;
"LINESTRING (666607.5 5103659.46,666630.38 5103652.0,666641.7 5103647.24,666649.48 5103646.17,666659.38 5103647.0)";7380;7380;PIAZZA G. MANCI;PIAZZA G. MANCI;TRENTO;0;;0;
"LINESTRING (663794.56 5107139.0,663795.25 5107136.0,663796.31 5107134.0,663797.69 5107132.0,663799.44 5107130.0,663801.44 5107128.5,663803.69 5107127.5,663806.06 5107127.0,663808.44 5107126.86,663810.94 5107127.0,663813.31 5107127.5,663815.56 5107128.5,663817.5 5107130.0,663817.56 5107130.0,663819.25 5107132.0)";0;0;;;TRENTO;1;;0;
"LINESTRING (664955.62 5102181.28,664961.32 5102182.0)";770;770;VIA E. CHINI;VIA E. CHINI;TRENTO;0;;0;
"LINESTRING (665871.06 5101818.0,665862.46 5101819.56,665854.14 5101820.72,665847.04 5101821.31,665840.38 5101821.5,665833.42 5101821.2,665825.28 5101819.98,665819.97 5101819.21,665807.69 5101817.5,665797.51 5101816.58,665782.62 5101816.5)";7230;7230;VIA VALNIGRA;VIA VALNIGRA;TRENTO;0;SECONDARIO;0;
"LINESTRING (664754.19 5102164.5,664783.19 5102163.5,664805.06 5102164.5)";770;770;VIA E. CHINI;VIA E. CHINI;TRENTO;0;;0;
"LINESTRING (665950.88 5101507.0,665951.53 5101510.75,665953.94 5101525.5,665957.48 5101535.87,665963.81 5101549.5,665966.016732572 5101553.82558034)";7240;7240;VIA DELLA VILLA;VIA DELLA VILLA;TRENTO;0;;0;
"LINESTRING (664483.75 5095943.5,664476.89 5095930.4,664471.05 5095914.97,664467.93 5095901.64,664458.13 5095850.78,664450.42 5095809.73,664443.33 5095771.17,664440.21 5095751.37,664439.37 5095742.62,664440.63 5095717.4,664443.13 5095686.76,664447.29 5095642.37)";7815;7815;VIA NAZIONALE;VIA NAZIONALE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663112.84 5107660.0,663085.81 5107659.0,663059.94 5107659.0)";5790;5790;VIA NOCE;VIA NOCE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (663056.06 5107659.0,663030.62 5107659.0,662940.81 5107659.5)";5790;5790;VIA NOCE;VIA NOCE;TRENTO;0;PRINCIPALE;0;
"LINESTRING (665511.88 5102336.0,665513.38 5102332.0,665550.44 5102315.5,665560.0 5102310.5,665563.38 5102306.94,665566.94 5102301.08,665570.06 5102291.5,665571.15 5102275.37,665572.47 5102265.24,665576.03 5102256.15,665582.69 5102247.0)";7160;7160;VIA D. SARTORI;VIA D. SARTORI;TRENTO;0;;0;
"LINESTRING (665868.06 5101605.0,665861.97 5101523.43)";7200;7200;VIA DEI TESSADRI;VIA DEI TESSADRI;TRENTO;0;;0;
"LINESTRING (665788.29 5101149.15,665791.19 5101165.0)";7180;7180;STRADA DELLE TABARELLE;STRADA DELLE TABARELLE;TRENTO;0;;0;
"LINESTRING (665922.12 5101021.5,665925.88 5100998.5)";7145;7145;STRADA DELLA POZZATA;STRADA DELLA POZZATA;TRENTO;0;;0;
"LINESTRING (663910 5103480,663915.25 5103448.0,663915.56 5103446.0)";2670;2670;VIA A. ROSMINI;VIA A. ROSMINI;TRENTO;0;;0;
"LINESTRING (664051.88 5102460.0,663998.31 5102443.5)";3901;3901;VIA G. MATTEOTTI;VIA G. MATTEOTTI;TRENTO;1;;0;
"LINESTRING (663005.58 5097549.78,663007.8 5097552.01,663009.59 5097554.37,663011.73 5097558.83,663013.34 5097563.33,663014.15 5097568.27,663014.5 5097573.76,663014.34 5097578.63)";8911;8911;VIA DEI POMARI;VIA DEI POMARI;TRENTO;1;;1;SP 90 Destra Adige
"LINESTRING (664818.53 5102788.47,664851.73 5102777.88,664856.5 5102793.5)";1380;1380;VIA GORIZIA;VIA GORIZIA;TRENTO;0;;0;
"LINESTRING (659660.06 5105402.5,659672.31 5105385.0,659674.25 5105382.0,659684.88 5105367.5,659698.56 5105349.0,659703.12 5105342.5,659709.56 5105333.5,659720.38 5105318.0,659722.88 5105314.5,659726.88 5105306.5,659731.75 5105296.0,659736.94 5105287.5,659744.06 5105282.0,659750.25 5105278.5,659763.38 5105274.5,659768.5 5105273.5)";8134;8134;STRADA DI SORAVAL;STRADA DI SORAVAL;TRENTO;0;;0;
"LINESTRING (664206.06 5104825.5,664196.75 5104805.0,664176.38 5104759.5,664167.38 5104732.0)";120;120;VIA F. AMBROSI;VIA F. AMBROSI;TRENTO;1;PRINCIPALE;0;
"LINESTRING (664000.72 5102047.72,663993.84 5102049.54,663988.0 5102053.17,663979.06 5102060.06)";2880;2880;VIA SAN PIO X;VIA SAN PIO X;TRENTO;0;;0;
"LINESTRING (663793.44 5104374.5,663798.56 5104373.0,663800.62 5104372.5,663844.44 5104360.0)";1460;1460;VIA G. B. LAMPI;VIA G. B. LAMPI;TRENTO;0;;0;
"LINESTRING (666306.08 5104662.61,666310.34 5104659.62,666316.55 5104657.53,666320.42 5104658.99,666324.66 5104661.94,666332.54 5104671.12,666338.55 5104680.19)";6390;6390;STRADA DELLA VALSUGANA;STRADA DELLA VALSUGANA;TRENTO;1;;1;
"LINESTRING (664499.44 5105262.5,664492.78 5105283.51,664485.3 5105303.34,664477.07 5105321.11,664471.88 5105334.0,664469.3 5105340.36,664459.44 5105361.5)";6090;6090;VIA CASTEL DEI MERLI;VIA CASTEL DEI MERLI;TRENTO;0;;0;
"LINESTRING (659576.56 5103787.5,659590.12 5103800.0)";8657;8657;STRADA DEL PRA DEL BOTER;STRADA DEL PRA DEL BOTER;TRENTO;0;;1;SP 85 dir Sopramonte
"LINESTRING (662117.12 5103180.0,662118.06 5103187.5,662117.75 5103203.5,662118.74 5103209.18,662122 5103215,662125 5103217,662126.38 5103222.28,662128.75 5103227.0,662128.39 5103234.35,662126.14 5103251.15,662125.87 5103257.97,662128.44 5103262.5,662133.62 5103265.5)";8624;8624;VIA LUIGI RATINI;VIA LUIGI RATINI;TRENTO;0;;0;
